DOR_ID,NAME
001,Октябрьская
002,Калининградская
003,Московская
004,Горьковская
005,Северная
006,Северо-Кавказская
007,Юго-Восточная
008,Приволжская
009,Куйбышевская
010,Свердловская
011,Южно-Уральская
012,Западно-Сибирская
013,Красноярская
014,Восточно-Сибирская
015,Забайкальская
016,Дальневосточная
017,Сахалинская
099,Сеть
100,Рефсервис
200,Заводы
